batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,lagrange_missclassification,pnorm_order,lagrange_smalltozero,lagrange_pnorm,value
529.0,0.0006816735223583967,239.0,5.0,1313.0,3.0,0.00962934888662701,7.0,0.9410925982524551,72677.46129971136,-0.02814582670107484
724.0,0.00041209653981474215,1078.0,7.0,458.0,4.0,0.00897024452577776,6.0,3.7690438116539156,26379.42477748325,-0.03024248518049717
672.0,0.0006970360239700835,1486.0,6.0,40.0,9.0,0.007605011894300998,4.0,8.84416059418547,74140.3448105375,-1.0323364436626434
519.0,0.0009503858120832483,342.0,5.0,504.0,1.0,0.005413771789548096,5.0,9.998385438564464,7326.326677480087,-1.0070899903774262
602.0,0.00042689893847671105,349.0,7.0,972.0,3.0,0.006159375024339485,8.0,7.829382330823743,51972.35844812312,-0.019588162656873465
347.0,0.00042865201942711304,1337.0,1.0,840.0,4.0,0.00596491445761836,8.0,6.821709308409394,72282.0023637251,-1.0114520728588103
220.0,0.0008526520818484498,1241.0,9.0,249.0,2.0,0.0075017439413498175,7.0,2.5623686747807217,11680.52957800543,-1.0087220013141631
527.0,0.0008256657592468039,1187.0,4.0,246.0,7.0,0.00902421517439991,8.0,5.084848916544894,16942.79116218275,-0.024273262824863195
414.0,0.0005694125021927861,480.0,2.0,708.0,10.0,0.005985995981435298,5.0,9.838228123429866,64023.3868936656,-0.3554661979433149
271.0,0.0007794092705542755,1119.0,3.0,338.0,5.0,0.009692617112803227,4.0,4.1657645489496025,94936.76190112237,-0.012009243154898286
998.0,0.0008389904821656794,579.0,8.0,1307.0,7.0,0.009397414395678764,4.0,8.643495544721365,22694.982258422773,-0.026426537055522205
889.0,0.00044709474378736046,1269.0,7.0,1218.0,2.0,0.00991542429297197,8.0,6.19559082874161,68800.03621759512,-0.043461758829653266
141.0,0.0001507396039028897,662.0,3.0,74.0,9.0,0.005350628213382867,9.0,3.5044393019939015,66623.23787426465,-1.0062924087047578
189.0,0.0005974942468794744,1161.0,8.0,647.0,10.0,0.008445775275795564,5.0,2.4537217774458444,75487.58994894417,-0.8144333743490278
927.0,0.00024338435751708018,557.0,5.0,888.0,7.0,0.007229187731363449,4.0,2.953151422142307,70464.9542193364,-0.027310749981552362
663.0,0.0005897526935165897,450.0,3.0,332.0,3.0,0.007666548475799375,6.0,3.9156270311108776,55702.113613256864,-0.026170314475893974
439.0,0.0008030862228005649,607.0,3.0,258.0,9.0,0.008406802957691547,7.0,6.159271403364392,2152.7796914732453,-1.007645410299301
923.0,0.0009455600177520286,708.0,5.0,1279.0,2.0,0.0050269724486162095,3.0,1.9804414192925246,30499.236237928813,-0.011637987056747078
119.0,9.437279397485301e-05,1402.0,9.0,241.0,2.0,0.0055190838682822214,3.0,1.0713973375139922,14247.890960980758,-1.0019917845726014
668.0,0.0009076974952068798,1435.0,7.0,828.0,8.0,0.008597811864659057,4.0,9.336788115366604,24511.626473495286,-0.01876533655449748
588.0,0.00017695042244443975,991.0,1.0,180.0,2.0,0.005679747721242565,5.0,8.601907029264982,56827.79467622224,-0.7419531549327075
263.0,0.00024121744842538074,795.0,8.0,241.0,6.0,0.005425440079884008,7.0,5.853171438589481,9441.956114938479,-1.0060509622097016
408.0,0.0006115200922880854,425.0,6.0,1180.0,5.0,0.006019011293448624,7.0,6.83433476350002,14051.226796016304,-1.0088652908802032
378.0,0.000874616204066846,1243.0,8.0,1273.0,5.0,0.009779476272953275,6.0,1.2628962765929244,6749.986512786125,-0.0650324304588139
670.0,0.00016225460365308422,1296.0,7.0,1346.0,9.0,0.009863887579823306,6.0,3.2914022123932383,31208.230522784004,-0.02998428251594305
860.0,0.0007494820235131385,1122.0,6.0,158.0,10.0,0.007087435244435867,4.0,9.60320410820071,73625.3298319153,-0.02655485114082694
849.0,0.00019116317729638572,64.0,5.0,1497.0,2.0,0.009577287594370064,5.0,7.822849454709159,71601.5371500375,-0.07204513251781464
