batch_size,lr,num_hidden_layers,num_neurons,value
142.0,0.0035279720367547745,4.0,230.0,-0.5478075361251831
90.0,0.00017166568335179517,2.0,324.0,-0.5888701462745667
278.0,0.0035174252486868743,4.0,297.0,-0.5536397480964661
109.0,0.0010579950908670259,5.0,223.0,-0.5696660494804382
254.0,0.00011954787553477814,5.0,538.0,-0.6247186636924744
338.0,0.0016858119345206908,1.0,781.0,-0.49909558534622195
408.0,0.0007081292714219064,1.0,591.0,-0.532825403213501
489.0,0.0043740042573463455,4.0,514.0,-0.570548906326294
181.0,0.0012255611056626718,4.0,450.0,-0.5727994418144227
65.0,0.0004644723688761677,5.0,248.0,-0.5697691750526428
183.0,0.002741088208636517,3.0,575.0,-0.5216336059570312
308.0,0.0015716398389839527,3.0,94.0,-0.5565158748626708
462.0,0.003416642678209528,4.0,123.0,-0.5885807156562806
321.0,0.0009389002357978835,4.0,526.0,-0.5841405177116394
152.0,0.0014255994622263525,4.0,796.0,-0.5538899517059326
293.0,0.00269580305514076,6.0,651.0,-0.6029823112487793
134.0,0.004374298699192102,5.0,782.0,-0.550804681777954
294.0,0.0019841272749805735,4.0,499.0,-0.5554570388793946
419.0,0.0017294779702268519,4.0,83.0,-0.582669062614441
328.0,0.0006585070809197393,3.0,464.0,-0.5726316857337952
282.0,0.0019591696161942755,4.0,215.0,-0.586532576084137
88.0,0.00024892937569594544,2.0,194.0,-0.5962924170494079
310.0,0.0010360304371456737,2.0,302.0,-0.5373699402809143
63.0,0.002750109349437317,1.0,70.0,-0.4868276357650757
256.0,0.00210075646608953,6.0,541.0,-0.5899273705482483
132.0,0.0032801683465167467,4.0,769.0,-0.5367082190513611
107.0,0.0023918203049302722,6.0,415.0,-0.5768892240524292
457.0,0.0038424922177457636,4.0,750.0,-0.5611541390419006
441.0,0.004437472798049063,5.0,224.0,-0.5833367109298706
282.0,0.003940527752740547,6.0,645.0,-0.5762600755691528
168.0,0.0031503501800729428,1.0,504.0,-0.5010791897773743
50.0,0.0023012690008835457,1.0,573.0,-0.486487557888031
194.0,0.002271051963564522,1.0,314.0,-0.49308189153671267
50.0,0.004688952670414062,1.0,50.0,-0.4712815570831299
50.0,0.005,1.0,712.0,-0.47081751108169556
193.0,0.005,1.0,50.0,-0.4953980278968811
50.0,0.005,2.0,278.0,-0.4850955128669739
50.0,0.004265188086684479,1.0,800.0,-0.47421626806259154
500.0,0.002667076215587894,1.0,800.0,-0.5065490436553955
50.0,0.004078152885417572,1.0,50.0,-0.4648111724853516
500.0,0.005,1.0,800.0,-0.5057781481742859
230.0,0.004629076847824546,1.0,781.0,-0.5021899104118347
56.0,0.0038854321274516654,2.0,794.0,-0.49142277002334595
475.0,0.0019059184278197232,1.0,90.0,-0.5953000688552856
50.0,0.004255940283455269,1.0,370.0,-0.4704486870765686
50.0,0.0031112580272469443,1.0,800.0,-0.467898850440979
167.0,0.0018264600184613705,1.0,800.0,-0.4901698565483093
346.0,0.0037555762596030128,1.0,792.0,-0.5157969069480896
50.0,0.005,1.0,162.0,-0.47438759326934815
50.0,0.005,6.0,50.0,-0.5230864763259888
50.0,0.0033163465215035365,1.0,276.0,-0.48209170579910277
471.0,0.004968673158900487,1.0,63.0,-0.529408712387085
174.0,0.004997536299477843,3.0,53.0,-0.5101753735542297
257.0,0.0049819558424441576,3.0,790.0,-0.521300950050354
60.0,0.0039055187947665384,2.0,54.0,-0.47560499668121337
120.0,0.004060839291986086,1.0,74.0,-0.49412145853042605
497.0,0.0016002322981627979,3.0,793.0,-0.5486624670028687
58.0,0.0024979068370032495,2.0,780.0,-0.4955620861053467
138.0,0.004955218065834251,1.0,799.0,-0.4833244323730469
112.0,0.00264117588169323,1.0,797.0,-0.4843813967704773
